id, iso_4217_code, description, symbol, thousands_separator, decimal_separator, decimal_places, symbol_position, created_at, updated_at, created_by, updated_by
'39', 'NZD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'40', 'SBD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'41', 'SGD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'42', 'SRD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'43', 'TTD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'44', 'TWD', 'DOLLAR', 'NT$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'45', 'USD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'46', 'XCD', 'DOLLAR', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'47', 'VND', 'DONG', '₫', '.', ',', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'48', 'AMD', 'DRAM', '֏', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'49', 'CVE', 'ESCUDO', '$', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'50', 'EUR', 'EURO', '€', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'51', 'HUF', 'FORINT', 'Ft', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'52', 'BIF', 'FRANC', 'Fr', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'53', 'CDF', 'FRANC', 'Fr', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'54', 'CHF', 'FRANC', 'CHF', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'55', 'DJF', 'FRANC', 'Fdj', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'56', 'GNF', 'FRANC', 'FG', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'57', 'KMF', 'FRANC', 'CF', '.', ',', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'58', 'RWF', 'FRANC', 'RF', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'59', 'XAF', 'FRANC', 'FCFA', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'60', 'XOF', 'FRANC', 'CFA', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'61', 'XPF', 'FRANC', '₣', ',', '.', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'62', 'HTG', 'GOURDE', 'G', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'63', 'PYG', 'GUARANI', '₲', '.', ',', '0', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'64', 'ANG', 'GUILDER', 'ƒ', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'65', 'AWG', 'GUILDER', 'ƒ', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'66', 'UAH', 'HRYVNIA', '₴', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'67', 'PGK', 'KINA', 'K', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'68', 'LAK', 'KIP', '₭', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'69', 'CZK', 'KORUNA', 'Kč', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'70', 'ISK', 'KRONA', 'kr', '.', ',', '0', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'71', 'SEK', 'KRONA', 'kr', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'72', 'DKK', 'KRONE', 'kr', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'73', 'NOK', 'KRONE', 'kr', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'74', 'MWK', 'KWACHA', 'MK', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'75', 'ZMW', 'KWACHA', 'ZK', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'76', 'AOA', 'KWANZA', 'Kz', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'77', 'MMK', 'KYAT', 'K', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'78', 'GEL', 'LARI', '₾', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'79', 'ALL', 'LEK', 'L', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'80', 'HNL', 'LEMPIRA', 'L', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'81', 'SLE', 'LEONE', 'Le', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'82', 'MDL', 'LEU', 'L', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'83', 'RON', 'LEU', 'lei', ',', '.', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'84', 'BGN', 'LEV', 'лв', '.', ',', '2', 'DERECHA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
'85', 'SZL', 'LILANGENI', 'L', ',', '.', '2', 'IZQUIERDA', '2026-03-18 08:48:04.894516', '2026-03-18 08:48:04.894516', '1', '1'
